question,answer
What is the name of the longest river in South America?,Amazon
Who painted the ceiling of the Sistine Chapel?,Michelangelo
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston
Which city is known as the 'Venice of the North'?,Amsterdam
Which country gifted the Statue of Liberty to the United States?,France
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991
In what city did the Chernobyl nuclear disaster occur?,Pripyat
What is the name of the first human spaceflight program by the United States?,Mercury
In which city can you find the Liberty Bell?,Philadelphia
What year did the United Kingdom vote to leave the European Union?,2016
Which planet is known as the Red Planet?,Mars
The historical landmark Stonehenge is located in which country?,England
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai
Which country is famous for its fjords?,Norway
What is the capital of Spain?,Madrid
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin
Which of these cities is not a national capital?,Sydney
The historic site Alcatraz Island is located in which U.S. state?,California
Where did the Titanic depart from on its maiden voyage?,Southampton
Which country was the first to use paper money?,China
In which country is the Taj Mahal located?,India
What is the name of the largest continent?,Asia
What is the capital city of Canada?,Ottawa
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl
Which of the following landmarks is located in Jordan?,Petra
In which year was the first iPhone released?,2007
What was the name of the first programmable computer invented by Konrad Zuse?,Z3
What is the name of the currency used in Japan?,Yen
Which country is the origin of the car brand Volvo?,Sweden
In what year did India gain its independence from Britain?,1947
What is the largest desert in the world?,Antarctic
Which city is known for the creation of the original Olympic Games?,Olympia
The ancient Acropolis is located in which city?,Athens
Which country was formerly known as Persia?,Iran
In which country would you find the ancient city of Petra?,Jordan
Where would you find the Eiffel Tower?,Paris
The historical figure Napoleon Bonaparte was born on which island?,Corsica
What year did the Spanish Armada attempt to invade England?,1588
Which country is the largest by area?,Russia
In what year did the Titanic sink?,1912
